title;rating;score;director
Meu Amigo Totoro;Meu Amigo Totoro;Meu Amigo Totoro;Meu Amigo Totoro
Menina de Ouro;Menina de Ouro;Menina de Ouro;Menina de Ouro
Klaus;Klaus;Klaus;Klaus
Harry Potter e as Relíquias da Morte - Parte 2;Harry Potter e as Relíquias da Morte - Parte 2;Harry Potter e as Relíquias da Morte - Parte 2;Harry Potter e as Relíquias da Morte - Parte 2
Filhos do Paraíso;Filhos do Paraíso;Filhos do Paraíso;Filhos do Paraíso
Blade Runner: O Caçador de Androides;Blade Runner: O Caçador de Androides;Blade Runner: O Caçador de Androides;Blade Runner: O Caçador de Androides
12 Anos de Escravidão;12 Anos de Escravidão;12 Anos de Escravidão;12 Anos de Escravidão
Antes do Amanhecer;Antes do Amanhecer;Antes do Amanhecer;Antes do Amanhecer
O Grande Hotel Budapeste;O Grande Hotel Budapeste;O Grande Hotel Budapeste;O Grande Hotel Budapeste
Em Busca do Ouro;Em Busca do Ouro;Em Busca do Ouro;Em Busca do Ouro
Ben-Hur;Ben-Hur;Ben-Hur;Ben-Hur
Garota Exemplar;Garota Exemplar;Garota Exemplar;Garota Exemplar
Barry Lyndon;Barry Lyndon;Barry Lyndon;Barry Lyndon
Sindicato de Ladrões;Sindicato de Ladrões;Sindicato de Ladrões;Sindicato de Ladrões
Até o Último Homem;Até o Último Homem;Até o Último Homem;Até o Último Homem
Em Nome do Pai;Em Nome do Pai;Em Nome do Pai;Em Nome do Pai
Memórias de um Assassino;Memórias de um Assassino;Memórias de um Assassino;Memórias de um Assassino
A General;A General;A General;A General
O Franco Atirador;O Franco Atirador;O Franco Atirador;O Franco Atirador
Morangos Silvestres;Morangos Silvestres;Morangos Silvestres;Morangos Silvestres
O 3º Homem;O 3º Homem;O 3º Homem;O 3º Homem
Relatos Selvagens;Relatos Selvagens;Relatos Selvagens;Relatos Selvagens
O Salário do Medo;O Salário do Medo;O Salário do Medo;O Salário do Medo
Bancando o Águia;Bancando o Águia;Bancando o Águia;Bancando o Águia
Sociedade dos Poetas Mortos;Sociedade dos Poetas Mortos;Sociedade dos Poetas Mortos;Sociedade dos Poetas Mortos
Mad Max: Estrada da Fúria;Mad Max: Estrada da Fúria;Mad Max: Estrada da Fúria;Mad Max: Estrada da Fúria
A Mulher Faz o Homem;A Mulher Faz o Homem;A Mulher Faz o Homem;A Mulher Faz o Homem
Monstros S.A.;Monstros S.A.;Monstros S.A.;Monstros S.A.
Tubarão;Tubarão;Tubarão;Tubarão
Como Treinar o Seu Dragão;Como Treinar o Seu Dragão;Como Treinar o Seu Dragão;Como Treinar o Seu Dragão
Mary e Max: Uma Amizade Diferente;Mary e Max: Uma Amizade Diferente;Mary e Max: Uma Amizade Diferente;Mary e Max: Uma Amizade Diferente
O Sétimo Selo;O Sétimo Selo;O Sétimo Selo;O Sétimo Selo
O Quarto de Jack;O Quarto de Jack;O Quarto de Jack;O Quarto de Jack
Ford vs Ferrari;Ford vs Ferrari;Ford vs Ferrari;Ford vs Ferrari
O Grande Lebowski;O Grande Lebowski;O Grande Lebowski;O Grande Lebowski
Era uma Vez em Tóquio;Era uma Vez em Tóquio;Era uma Vez em Tóquio;Era uma Vez em Tóquio
Ratatouille;Ratatouille;Ratatouille;Ratatouille
Rocky: Um Lutador;Rocky: Um Lutador;Rocky: Um Lutador;Rocky: Um Lutador
Hotel Ruanda;Hotel Ruanda;Hotel Ruanda;Hotel Ruanda
Logan;Logan;Logan;Logan
O Martírio de Joana D'Arc;O Martírio de Joana D'Arc;O Martírio de Joana D'Arc;O Martírio de Joana D'Arc
Spotlight: Segredos Revelados;Spotlight: Segredos Revelados;Spotlight: Segredos Revelados;Spotlight: Segredos Revelados
Platoon;Platoon;Platoon;Platoon
O Exterminador do Futuro;O Exterminador do Futuro;O Exterminador do Futuro;O Exterminador do Futuro
Jai Bhim;Jai Bhim;Jai Bhim;Jai Bhim
Antes do Pôr do Sol;Antes do Pôr do Sol;Antes do Pôr do Sol;Antes do Pôr do Sol
Rush: No Limite da Emoção;Rush: No Limite da Emoção;Rush: No Limite da Emoção;Rush: No Limite da Emoção
Rede de Intrigas;Rede de Intrigas;Rede de Intrigas;Rede de Intrigas
Conta Comigo;Conta Comigo;Conta Comigo;Conta Comigo
Os Melhores Anos de Nossa Vida;Os Melhores Anos de Nossa Vida;Os Melhores Anos de Nossa Vida;Os Melhores Anos de Nossa Vida
O Exorcista;O Exorcista;O Exorcista;O Exorcista
O Ódio;O Ódio;O Ódio;O Ódio
O Mágico de Oz;O Mágico de Oz;O Mágico de Oz;O Mágico de Oz
Piratas do Caribe: A Maldição do Pérola Negra;Piratas do Caribe: A Maldição do Pérola Negra;Piratas do Caribe: A Maldição do Pérola Negra;Piratas do Caribe: A Maldição do Pérola Negra
Na Natureza Selvagem;Na Natureza Selvagem;Na Natureza Selvagem;Na Natureza Selvagem
Os Incríveis;Os Incríveis;Os Incríveis;Os Incríveis
Ser ou Não Ser;Ser ou Não Ser;Ser ou Não Ser;Ser ou Não Ser
Sempre ao Seu Lado;Sempre ao Seu Lado;Sempre ao Seu Lado;Sempre ao Seu Lado
A Criada;A Criada;A Criada;A Criada
A Batalha de Argel;A Batalha de Argel;A Batalha de Argel;A Batalha de Argel
Feitiço do Tempo;Feitiço do Tempo;Feitiço do Tempo;Feitiço do Tempo
As Vinhas da Ira;As Vinhas da Ira;As Vinhas da Ira;As Vinhas da Ira
Meu Pai e Meu Filho;Meu Pai e Meu Filho;Meu Pai e Meu Filho;Meu Pai e Meu Filho
Amores Brutos;Amores Brutos;Amores Brutos;Amores Brutos
Rebecca, a Mulher Inesquecível;Rebecca, a Mulher Inesquecível;Rebecca, a Mulher Inesquecível;Rebecca, a Mulher Inesquecível
A Noviça Rebelde;A Noviça Rebelde;A Noviça Rebelde;A Noviça Rebelde
Rebeldia Indomável;Rebeldia Indomável;Rebeldia Indomável;Rebeldia Indomável
A Canção da Estrada;A Canção da Estrada;A Canção da Estrada;A Canção da Estrada
O Gigante de Ferro;O Gigante de Ferro;O Gigante de Ferro;O Gigante de Ferro
Aconteceu Naquela Noite;Aconteceu Naquela Noite;Aconteceu Naquela Noite;Aconteceu Naquela Noite
Histórias Cruzadas;Histórias Cruzadas;Histórias Cruzadas;Histórias Cruzadas
Os Incompreendidos;Os Incompreendidos;Os Incompreendidos;Os Incompreendidos
Quando Duas Mulheres Pecam;Quando Duas Mulheres Pecam;Quando Duas Mulheres Pecam;Quando Duas Mulheres Pecam
A Vida de Brian;A Vida de Brian;A Vida de Brian;A Vida de Brian
Aladdin;Aladdin;Aladdin;Aladdin
Dança com Lobos;Dança com Lobos;Dança com Lobos;Dança com Lobos
